163M 15:31 cchs-82M0024-E-2015-nu-fid
102M 19:47 gss-12M0019-E-2005-c-19-m
102M 19:24 esg-12M0019-GPF-F-2005-c19-fichier-principal
 96M 18:41 edm-62M0004-F-2017-entrevue
 93M 19:54 gss-89M0034-E-2015-c-29-episode
 93M 19:34 ESG-89M0034-F-2015-Cycle29-Epsiodes
 86M 21:31 stc-98M0001-F-2016-particuliers
 86M 20:50 pumf-98M0001-E-2016-individuals
 81M 19:44 gss-12M0018-E-2010-c-24-tus-mf
 80M 19:25 esg-12M0024-F-2010-c24-fichier-principal
 77M 20:41 NHS-99M001X-E-2011-pumf-individuals
 73M 18:17 citd-E-2003-imp
 73M 18:53 enm-99-004-F-2011-particuliers
 71M 18:06 citd-E-2002-imp
 68M 17:56 citd-E-2001-imp
 67M 17:46 citd-E-2000-imp
 65M 19:29 esg-89-625-XWF-F-2006-c20
 65M 19:48 gss-12M0020-E-2006-ft
 64M 17:37 citd-E-1999-imp
 63M 20:00 imtd-E-2008-imp
 63M 17:27 citd-E-1998-imp
 63M 20:02 imtd-E-2011-imp
 62M 17:18 citd-E-1997-imp
 61M 19:26 esg-12M0025-F-2011-c25
 61M 19:50 gss-12M0025-E-2011-c-25
 61M 20:01 imtd-E-2010-imp
 60M 20:03 imtd-E-2012-imp
 60M 19:59 imtd-E-2007-imp
 60M 18:25 CTADS-82M0020-E-2015-ann-household
 60M 20:47 pumf-95M0028-E-2006-individuals
 60M 21:21 stc-95M0028XVB-2006-Fichierdesparticuliers
 60M 20:00 imtd-E-2009-imp
 60M 19:31 esg-89F0115XIF-F-2007-c21
 60M 19:49 gss-12M0021-E-2007-c-21
 59M 18:37 ECTAD-82M0020-F-2015-menage-bootstrap-revise
 59M 22:33 wtd-E-1980-2001
 59M 18:24 cius-56M0004XCB-E-2018
 59M 19:37 euim-56M0004XCB-F-2018
 58M 19:57 imtd-E-2004-imp
 58M 19:51 gss-12M0025-E-2012-c-26
 58M 19:32 esg-89M0031-F-2012-c-26
 57M 19:46 gss-12M0018-E-2014-c-28-vmf
 57M 19:23 esg-12M0018-F-2014-c-28-vfp
 54M 18:52 end-81M0011-F-2018
 54M 20:40 ngs-81M0011-E-2018
 53M 15:54 cen-95F0185-E-1996-eaprof
 53M 19:49 gss-12M0022G-E-2008
 53M 19:30 esg-89-640-XIF-F-2008
 52M 18:38 ectad-82M0020-F-2017-menage
 49M 19:44 gss-12M0018-E-2009-c-23-vmf
 49M 19:32 esg-89M0032X-F-2013-C27
 49M 19:53 gss-89M0032x-E-2013-c27
 48M 19:22 esg-12M0018-F-2009-c-23-vfp
 48M 17:04 citd-E-1995-imp
 47M 17:11 citd-E-1996-imp
 46M 16:57 citd-E-1994-imp
 45M 19:28 esg-12M0030X-F-2016-c-30
 45M 19:52 gss-12M0030X-E-2016-c-30
 42M 16:51 citd-E-1993-imp
 41M 19:20 esf-13M0006-F-2016
 41M 16:35 citd-E-1990-imp
 41M 16:46 citd-E-1992-imp
 39M 19:52 gss-12M0025-E-2017-c-31
 39M 19:27 esg-12M0025-F-2017-c-31
 39M 16:41 citd-E-1991-imp
 38M 16:30 citd-E-1989-imp
 38M 21:08 STC-95M0016XCB-F-2001-Fichierdesparticuliers
 38M 20:46 pumf-95M0016-E-2001-individuals
 37M 16:26 citd-E-1988-imp
 33M 18:42 edm-62M0004-F-2017-journal
 33M 21:03 STC-95M0007XCB-F-1991-fichierdesparticuliers
 33M 20:45 pumf-95M0007-E-1991-individuals
 32M 21:04 STC-95M0010XCB-F-1996-Fichierdesparticuliers
 32M 20:45 pumf-95M0010-E-1996-individuals
 32M 19:34 ESG-89M0034-F-2015-Cycle29-Principal
 32M 19:55 gss-89M0034-E-2015-c-29-main
 32M 15:37 cchs-82M0024-E-2015-nu-frl
 32M 19:22 esg-12M0018-F-2004-c18-fichier-principal
 32M 19:21 esg-12M0017GPF-F-2003-c17
 31M 19:53 gss-4430-E-2018-c33
 31M 19:28 esg-12M0025-F-2018-c-33
 31M 19:42 gss-12M0015-E-2001-c-15-m
 31M 19:29 esg-89-575-XIF-F-2001-c15-fichier-principal
 30M 20:43 peica-89-555-X-F-2012
 30M 20:44 piaac-89555XWE-E-2012
 30M 18:32 dfo-E-1991-ced
 30M 19:16 escc!82M0013!F!2007-2008!c4.1
 30M 15:41 cchs-E-2007-2008-AnnualComponent
 30M 18:35 ecae-89M0025-F-2018
 30M 18:50 eics-89M0025-E-2018
 29M 18:33 dfo-E-1993-ced
 28M 21:14 STC-95M0018XCB-F-2001-Fichierdesfamilles
 28M 20:47 pumf-95M0018-E-2001-families
 28M 19:17 escc-82M0013-F-2009-2010-composante-annuel
 28M 14:27 CCHS-82M0013-E-2009-2010-Annualcomponent
 28M 14:42 cchs-82M0013-E-2011-2012-Annual-component
 28M 19:19 escc-82M0013-F-2015-2016-composante-annuelle
 28M 15:10 cchs-82M0013-E-2015-2016-Annual-component
 27M 19:33 esg-89M0033X-F-2013-c27
 27M 19:54 gss-89M0033X-E-2013-c27
 27M 18:39 ectad-82M0020-F-2017-personnes
 27M 18:33 dfo-E-1992-ced
 27M 19:18 escc-82M0013-F-2013-2014-composante-annuelle
 27M 14:57 cchs-82M0013-E-2013-2014-Annual-component
 26M 19:43 gss-12M0017-E-2003-c-17
 26M 18:26 CTADS-82M0020-E-2015-person
 26M 19:16 escc-82C0024-F-2003-Cycle-2-1
 26M 14:04 cchs-82M0013-E-2003-c2-1-GeneralFile
 26M 20:46 pumf-95M0012-E-1996-families
 26M 21:05 STC-95M0012XCB-F-1996-Fichierdesfamilles
 26M 19:17 escc-82M0013-F-2005-cycle3-HS
 26M 14:13 cchs-82M0013-E-2005-c3-1-main-file
 25M 21:18 STC-95M0020XCB-F-2001-Fichierdesmnagesetdulogement
 25M 20:47 pumf-95M0020-E-2001-households
 25M 18:38 ECTAD-82M0020-F-2015-personne-bootstrap-revise
 25M 19:43 gss-12M0018-E-2004-c-18-m
 24M 20:49 pumf-95M00-E-1991-families
 24M 18:33 dfo-E-1995-ced
 24M 20:24 lfs-71M0001XCB-E-1981
 24M 18:33 dfo-E-1996-ced
 23M 18:35 ecae-89M0025-F-2017
 23M 18:50 eics-89M0025-E-2017
 23M 21:03 stc-95M0004GF-F-1981-particuliers
 23M 20:49 pumf-95M00-E-1981-individual
 22M 18:51 elca-89M0016XCB-F-2003
 22M 20:46 pumf-95M0011-E-1996-households
 22M 21:04 STC-95M0011XCB-F-1996-Fichierdesmnagesetdulogement
 22M 13:40 all-89M0016-E-2003
 22M 19:19 escc-82M0013-F-2017-2018-composante-annuelle
 22M 15:18 cchs-82M0013-E-2017-2018-Annual-component
 21M 20:51 recensement-98M0002-F-2016-hierarchique
 21M 20:51 pumf-98M0002-E-2016-hierarchical
 21M 18:31 dfo-E-1987-ced
 21M 20:04 its-66M00010-E-1990-2000-ctu
 21M 20:38 lmas-71F0001-E-1988-1990j
 21M 18:32 dfo-E-1988-ced
 20M 18:32 dfo-E-1989-ced
 20M 19:58 imtd-E-2007-exp
 20M 19:58 imtd-E-2006-exp
 20M 20:48 pumf-95M0029-E-2006-hierarchical
